,Brand,Name,Img_Url,Price
28,Ceramica,RadoCeramica,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-ceramica-r21700182.jpg,"1,54,800"
29,Chrono Classic,VictorinoxChrono Classic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/v/i/victorinox-chrono-classic-241494-1.jpg,"33,700"
30,Presence,LonginesPresence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-presence-l4-805-1-11-2.jpg,"94,200"
31,Classic,Daniel WellingtonClassic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/d/a/daniel-wellington-classic-dw00100277.jpg,"12,299"
32,Freelancer,Raymond WeilFreelancer,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-freelancer-2780-stc-acdc1.jpg,"1,75,200"
33,Meister Driver,JunghansMeister Driver,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/j/u/junghans-meister-driver-27368400.jpg,"1,93,500"
34,Max Bill,JunghansMax Bill,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/j/u/junghans-max-bill-27460100.jpg,"1,59,800"
35,T-Sport,TissotT-Sport,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/t/i/tissot-t-race-t092-427-27-061-01.jpg,"91,500"
36,Presence,LonginesPresence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-921-1-11-2.jpg,"84,000"
37,Longines Lyre,LonginesLongines Lyre,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-960-1-11-7.jpg,"1,03,000"
38,Museum Classic,MovadoMuseum Classic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/m/o/movado-museum-classic-607212.jpg,"68,250"
39,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-766-4-97-6.jpg,"99,300"
40,Classic Plus,MeistersingerClassic Plus,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/m/e/meistersinger-cross-line-black-line-am1002bl.jpg,"1,87,700"
41,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-755-1-57-7.jpg,"1,12,500"
42,Tango,Raymond WeilTango,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-tango-8570-bkc-mars1.jpg,"1,22,400"
43,Tango,Raymond WeilTango,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-tango-8570-sp3-65501.jpg,"1,18,600"
44,Aviation,OrisAviation,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/o/r/oris-aviation-01-754-7741-3167-07-5-20-58br.jpg,"1,71,800"
45,Edifice,CasioEdifice,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/c/a/casio-edifice-eqs-910d-1avudf.jpg,"11,995"
46,Kalpa,ParmigianiKalpa,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/p/a/parmigiani-kalpa-pfh187-1001400-ha1442.jpg,"79,61,000"
47,Townsman,FossilTownsman,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/o/fossil-townsman-fs5437i.jpg,"11,995"
48,The Longines Elegant Collection,LonginesThe Longines Elegant Collection,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-watchmaking-tradition-l4-809-5-12-7.jpg,"1,52,000"
49,Presence,LonginesPresence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-elegance-l4-821-4-11-6.jpg,"80,300"
50,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-florence-r48743154-129-3743-2-115_1.jpg,"64,500"
51,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-de-longines-l4-766-4-97-2.jpg,"99,300"
52,Coupole,RadoCoupole,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-coupole-r22910123.jpg,"1,08,500"
